record_id,date,city,area_type,road_type,vehicle_count,avg_speed_kmph,congestion_level,accidents_reported,weather
108,2025-01-05 11:00:00,Mumbai,Highway,Main Road,1906,63,Medium,0,Clear
109,2025-01-05 12:00:00,Delhi,Suburban,Street,1446,25,Medium,0,Clear
110,2025-01-05 13:00:00,Delhi,Suburban,Street,1154,64,Low,1,Clear
111,2025-01-05 14:00:00,Chennai,Highway,Highway,1946,52,Low,1,Rain
112,2025-01-05 15:00:00,Delhi,Suburban,Highway,1713,70,Severe,0,Fog
113,2025-01-05 16:00:00,Hyderabad,Highway,Street,1768,47,Severe,0,Cloudy
114,2025-01-05 17:00:00,Delhi,Suburban,Main Road,1828,54,Low,1,Cloudy
115,2025-01-05 18:00:00,Chennai,Highway,Street,746,60,High,0,Fog
116,2025-01-05 19:00:00,Hyderabad,Highway,Highway,1059,51,Severe,1,Cloudy
117,2025-01-05 20:00:00,Bangalore,Urban,Main Road,781,33,Severe,1,Clear
118,2025-01-05 21:00:00,Delhi,Highway,Main Road,1144,39,Medium,1,Cloudy
119,2025-01-05 22:00:00,Chennai,Highway,Highway,1018,46,Severe,4,Fog
120,2025-01-05 23:00:00,Bangalore,Suburban,Street,903,62,Severe,1,Rain
121,2025-01-06 00:00:00,Bangalore,Highway,Ring Road,715,72,High,0,Rain
122,2025-01-06 01:00:00,Mumbai,Urban,Street,1830,20,Severe,1,Fog
123,2025-01-06 02:00:00,Hyderabad,Suburban,Street,701,87,High,0,Cloudy
124,2025-01-06 03:00:00,Delhi,Suburban,Highway,1144,32,Medium,0,Cloudy
125,2025-01-06 04:00:00,Chennai,Urban,Main Road,95,89,Low,0,Rain
126,2025-01-06 05:00:00,Mumbai,Suburban,Highway,1120,59,Medium,0,Cloudy
127,2025-01-06 06:00:00,Hyderabad,Suburban,Street,1664,64,High,0,Rain
128,2025-01-06 07:00:00,Mumbai,Suburban,Ring Road,1495,64,High,0,Fog
129,2025-01-06 08:00:00,Hyderabad,Suburban,Ring Road,198,13,Severe,0,Fog
130,2025-01-06 09:00:00,Hyderabad,Urban,Ring Road,959,63,Severe,0,Cloudy
131,2025-01-06 10:00:00,Delhi,Urban,Highway,1203,70,Low,0,Clear
132,2025-01-06 11:00:00,Hyderabad,Suburban,Main Road,505,87,High,1,Clear
133,2025-01-06 12:00:00,Mumbai,Suburban,Highway,1712,14,High,0,Rain
134,2025-01-06 13:00:00,Hyderabad,Urban,Ring Road,926,27,Medium,0,Fog
135,2025-01-06 14:00:00,Delhi,Urban,Street,1704,53,Low,0,Rain
136,2025-01-06 15:00:00,Delhi,Urban,Main Road,1015,40,Medium,0,Fog
137,2025-01-06 16:00:00,Mumbai,Suburban,Highway,918,30,Severe,0,Rain
138,2025-01-06 17:00:00,Bangalore,Suburban,Highway,1578,56,Severe,0,Rain
139,2025-01-06 18:00:00,Bangalore,Highway,Main Road,978,39,Medium,0,Rain
140,2025-01-06 19:00:00,Hyderabad,Urban,Main Road,1073,64,Severe,1,Cloudy
141,2025-01-06 20:00:00,Chennai,Suburban,Street,1050,77,Medium,0,Clear
142,2025-01-06 21:00:00,Hyderabad,Urban,Main Road,823,78,High,1,Fog
143,2025-01-06 22:00:00,Mumbai,Suburban,Street,293,50,High,0,Rain
144,2025-01-06 23:00:00,Mumbai,Urban,Ring Road,523,54,Severe,0,Clear
145,2025-01-07 00:00:00,Mumbai,Suburban,Ring Road,431,83,Low,0,Rain
146,2025-01-07 01:00:00,Mumbai,Highway,Highway,1176,89,High,1,Rain
147,2025-01-07 02:00:00,Mumbai,Highway,Ring Road,538,39,Severe,0,Fog
148,2025-01-07 03:00:00,Delhi,Urban,Ring Road,1110,86,Low,1,Cloudy
149,2025-01-07 04:00:00,Bangalore,Suburban,Street,1727,54,Severe,0,Rain
150,2025-01-07 05:00:00,Mumbai,Suburban,Highway,1622,54,Medium,1,Fog
151,2025-01-07 06:00:00,Chennai,Urban,Main Road,1593,88,Severe,0,Cloudy
152,2025-01-07 07:00:00,Chennai,Suburban,Highway,1816,54,Medium,0,Cloudy
153,2025-01-07 08:00:00,Chennai,Urban,Ring Road,1406,64,High,1,Clear
154,2025-01-07 09:00:00,Chennai,Suburban,Main Road,446,68,High,0,Clear
155,2025-01-07 10:00:00,Delhi,Urban,Highway,345,14,Severe,0,Rain
156,2025-01-07 11:00:00,Chennai,Suburban,Highway,156,41,Low,0,Clear
157,2025-01-07 12:00:00,Mumbai,Urban,Highway,909,15,Severe,0,Fog
158,2025-01-07 13:00:00,Hyderabad,Suburban,Highway,1003,35,Severe,1,Fog
159,2025-01-07 14:00:00,Chennai,Highway,Street,579,46,High,0,Clear
160,2025-01-07 15:00:00,Delhi,Suburban,Highway,1898,22,High,1,Fog
161,2025-01-07 16:00:00,Delhi,Urban,Ring Road,1156,78,Severe,1,Fog
162,2025-01-07 17:00:00,Chennai,Highway,Ring Road,983,34,High,0,Rain
163,2025-01-07 18:00:00,Hyderabad,Suburban,Street,337,22,Medium,1,Rain
164,2025-01-07 19:00:00,Chennai,Highway,Main Road,755,29,Severe,0,Fog
165,2025-01-07 20:00:00,Delhi,Suburban,Main Road,1534,81,High,0,Clear
166,2025-01-07 21:00:00,Bangalore,Highway,Ring Road,264,69,Severe,2,Fog
167,2025-01-07 22:00:00,Mumbai,Urban,Ring Road,1354,82,High,1,Cloudy
168,2025-01-07 23:00:00,Delhi,Suburban,Street,781,30,Medium,0,Cloudy
169,2025-01-08 00:00:00,Chennai,Suburban,Main Road,1532,70,Medium,1,Cloudy
170,2025-01-08 01:00:00,Mumbai,Urban,Main Road,1874,88,Severe,0,Rain
171,2025-01-08 02:00:00,Chennai,Highway,Highway,393,35,Medium,0,Clear
172,2025-01-08 03:00:00,Chennai,Urban,Highway,243,63,Medium,0,Fog
173,2025-01-08 04:00:00,Bangalore,Urban,Highway,207,51,High,1,Clear
174,2025-01-08 05:00:00,Mumbai,Highway,Street,514,20,Severe,0,Clear
175,2025-01-08 06:00:00,Mumbai,Urban,Ring Road,153,46,High,1,Clear
176,2025-01-08 07:00:00,Bangalore,Suburban,Street,83,20,High,1,Cloudy
177,2025-01-08 08:00:00,Delhi,Suburban,Main Road,1175,36,Low,0,Fog
178,2025-01-08 09:00:00,Chennai,Suburban,Ring Road,688,43,Medium,0,Rain
179,2025-01-08 10:00:00,Hyderabad,Urban,Highway,1799,47,High,0,Clear
180,2025-01-08 11:00:00,Chennai,Suburban,Street,374,70,High,0,Clear
181,2025-01-08 12:00:00,Chennai,Suburban,Street,1881,62,High,1,Cloudy
182,2025-01-08 13:00:00,Delhi,Suburban,Highway,740,74,Medium,1,Cloudy
183,2025-01-08 14:00:00,Chennai,Suburban,Street,641,12,Medium,0,Fog
184,2025-01-08 15:00:00,Bangalore,Suburban,Highway,190,76,Medium,0,Rain
185,2025-01-08 16:00:00,Bangalore,Suburban,Main Road,523,37,Severe,0,Rain
186,2025-01-08 17:00:00,Mumbai,Urban,Ring Road,1104,23,High,0,Cloudy
187,2025-01-08 18:00:00,Hyderabad,Suburban,Main Road,933,61,Medium,0,Fog
188,2025-01-08 19:00:00,Chennai,Suburban,Main Road,112,39,High,1,Clear
189,2025-01-08 20:00:00,Chennai,Highway,Highway,1633,67,Severe,0,Fog
190,2025-01-08 21:00:00,Delhi,Urban,Street,1160,63,Low,0,Rain
191,2025-01-08 22:00:00,Bangalore,Urban,Main Road,353,78,Severe,1,Cloudy
192,2025-01-08 23:00:00,Hyderabad,Urban,Main Road,1134,24,Medium,1,Clear
193,2025-01-09 00:00:00,Mumbai,Urban,Main Road,445,47,Medium,0,Clear
194,2025-01-09 01:00:00,Bangalore,Suburban,Street,383,87,Severe,0,Rain
195,2025-01-09 02:00:00,Mumbai,Suburban,Street,835,23,High,0,Clear
196,2025-01-09 03:00:00,Delhi,Highway,Highway,460,66,Medium,0,Fog
197,2025-01-09 04:00:00,Delhi,Highway,Main Road,333,68,Medium,0,Rain
198,2025-01-09 05:00:00,Chennai,Urban,Ring Road,515,17,Severe,0,Rain
199,2025-01-09 06:00:00,Hyderabad,Highway,Street,129,81,High,1,Clear
200,2025-01-09 07:00:00,Mumbai,Highway,Highway,1765,28,Severe,0,Rain
201,2025-01-09 08:00:00,Bangalore,Urban,Main Road,833,41,Severe,0,Cloudy
202,2025-01-09 09:00:00,Delhi,Urban,Ring Road,1150,38,High,0,Fog
203,2025-01-09 10:00:00,Chennai,Highway,Street,782,50,High,0,Rain
204,2025-01-09 11:00:00,Chennai,Suburban,Ring Road,1978,84,Low,0,Cloudy
205,2025-01-09 12:00:00,Mumbai,Highway,Street,1867,54,Severe,0,Clear
206,2025-01-09 13:00:00,Delhi,Highway,Highway,1613,22,High,0,Rain
207,2025-01-09 14:00:00,Hyderabad,Suburban,Ring Road,1434,36,Medium,0,Cloudy
208,2025-01-09 15:00:00,Delhi,Suburban,Main Road,126,28,Low,0,Clear
209,2025-01-09 16:00:00,Mumbai,Urban,Main Road,558,35,Severe,0,Cloudy
210,2025-01-09 17:00:00,Mumbai,Urban,Street,1237,62,High,1,Clear
211,2025-01-09 18:00:00,Delhi,Highway,Main Road,1082,60,Low,1,Fog
212,2025-01-09 19:00:00,Mumbai,Suburban,Ring Road,1248,46,Low,1,Rain
213,2025-01-09 20:00:00,Delhi,Urban,Highway,511,18,Medium,0,Fog
214,2025-01-09 21:00:00,Bangalore,Highway,Street,1380,61,Low,0,Fog
215,2025-01-09 22:00:00,Delhi,Suburban,Ring Road,1661,63,Severe,0,Rain
216,2025-01-09 23:00:00,Delhi,Highway,Street,294,12,High,0,Fog
217,2025-01-10 00:00:00,Mumbai,Urban,Highway,171,78,Low,0,Fog
218,2025-01-10 01:00:00,Mumbai,Urban,Street,234,17,Low,0,Cloudy
219,2025-01-10 02:00:00,Chennai,Suburban,Main Road,81,23,Severe,0,Clear
220,2025-01-10 03:00:00,Chennai,Highway,Main Road,1047,12,Medium,0,Fog
221,2025-01-10 04:00:00,Bangalore,Suburban,Street,811,33,Medium,1,Rain
222,2025-01-10 05:00:00,Chennai,Urban,Highway,618,22,High,0,Cloudy
223,2025-01-10 06:00:00,Delhi,Urban,Highway,359,52,Severe,0,Clear
224,2025-01-10 07:00:00,Mumbai,Highway,Main Road,1445,38,Medium,1,Fog
225,2025-01-10 08:00:00,Chennai,Highway,Highway,1729,81,High,0,Fog
226,2025-01-10 09:00:00,Chennai,Highway,Street,879,60,High,0,Rain
227,2025-01-10 10:00:00,Bangalore,Suburban,Ring Road,1669,51,Medium,0,Fog
228,2025-01-10 11:00:00,Bangalore,Highway,Street,1041,40,Severe,0,Rain
229,2025-01-10 12:00:00,Delhi,Highway,Main Road,1129,72,Low,0,Fog
230,2025-01-10 13:00:00,Mumbai,Urban,Main Road,840,35,Medium,0,Fog
231,2025-01-10 14:00:00,Bangalore,Urban,Main Road,1346,27,Low,1,Rain
232,2025-01-10 15:00:00,Chennai,Highway,Highway,513,66,Low,0,Clear
233,2025-01-10 16:00:00,Mumbai,Highway,Street,727,16,Severe,0,Cloudy
234,2025-01-10 17:00:00,Mumbai,Urban,Ring Road,1529,57,Severe,0,Rain
235,2025-01-10 18:00:00,Chennai,Highway,Street,1028,89,High,1,Clear
236,2025-01-10 19:00:00,Bangalore,Suburban,Ring Road,719,69,Severe,0,Clear
237,2025-01-10 20:00:00,Chennai,Suburban,Street,1322,42,High,1,Rain
238,2025-01-10 21:00:00,Mumbai,Suburban,Main Road,747,12,Medium,1,Cloudy
239,2025-01-10 22:00:00,Hyderabad,Highway,Ring Road,1043,13,Low,1,Rain
240,2025-01-10 23:00:00,Hyderabad,Urban,Street,127,13,Severe,0,Fog
241,2025-01-11 00:00:00,Delhi,Highway,Highway,583,51,Medium,0,Fog
242,2025-01-11 01:00:00,Chennai,Highway,Highway,157,18,High,0,Clear
243,2025-01-11 02:00:00,Chennai,Urban,Street,1346,60,Severe,0,Fog
244,2025-01-11 03:00:00,Delhi,Urban,Main Road,813,26,Low,0,Cloudy
245,2025-01-11 04:00:00,Delhi,Urban,Ring Road,64,26,Medium,0,Rain
246,2025-01-11 05:00:00,Delhi,Suburban,Street,419,29,Severe,0,Cloudy
247,2025-01-11 06:00:00,Mumbai,Highway,Highway,1377,23,Severe,1,Clear
248,2025-01-11 07:00:00,Chennai,Urban,Ring Road,1745,31,Medium,0,Fog
249,2025-01-11 08:00:00,Mumbai,Highway,Highway,254,61,High,0,Fog
250,2025-01-11 09:00:00,Delhi,Suburban,Highway,1186,36,High,1,Rain
251,2025-01-11 10:00:00,Chennai,Suburban,Street,1753,52,Severe,0,Cloudy
252,2025-01-11 11:00:00,Mumbai,Urban,Highway,914,12,High,0,Cloudy
253,2025-01-11 12:00:00,Mumbai,Urban,Ring Road,1326,17,High,0,Rain
254,2025-01-11 13:00:00,Delhi,Highway,Main Road,490,19,Medium,1,Fog
255,2025-01-11 14:00:00,Chennai,Urban,Street,1259,38,High,0,Clear
256,2025-01-11 15:00:00,Delhi,Highway,Ring Road,908,49,High,0,Clear
257,2025-01-11 16:00:00,Chennai,Urban,Street,276,74,Medium,0,Rain
258,2025-01-11 17:00:00,Hyderabad,Highway,Highway,577,30,Severe,1,Rain
259,2025-01-11 18:00:00,Bangalore,Highway,Highway,1741,33,Severe,1,Rain
260,2025-01-11 19:00:00,Bangalore,Highway,Ring Road,403,82,Medium,2,Cloudy
261,2025-01-11 20:00:00,Bangalore,Highway,Ring Road,672,69,Low,2,Fog
262,2025-01-11 21:00:00,Delhi,Suburban,Main Road,1074,35,Medium,1,Fog
263,2025-01-11 22:00:00,Hyderabad,Highway,Ring Road,1626,18,Low,1,Rain
264,2025-01-11 23:00:00,Chennai,Urban,Ring Road,1633,29,High,0,Clear
265,2025-01-12 00:00:00,Mumbai,Suburban,Street,976,65,Severe,0,Cloudy
266,2025-01-12 01:00:00,Chennai,Suburban,Highway,1493,45,Low,2,Rain
267,2025-01-12 02:00:00,Mumbai,Highway,Ring Road,1693,45,Low,0,Cloudy
268,2025-01-12 03:00:00,Chennai,Suburban,Main Road,1234,82,High,0,Rain
269,2025-01-12 04:00:00,Hyderabad,Highway,Ring Road,210,31,Severe,0,Cloudy
270,2025-01-12 05:00:00,Mumbai,Urban,Highway,920,10,High,0,Clear
271,2025-01-12 06:00:00,Delhi,Highway,Ring Road,1201,78,Severe,0,Clear
272,2025-01-12 07:00:00,Chennai,Suburban,Street,1795,82,Severe,0,Clear
273,2025-01-12 08:00:00,Chennai,Urban,Highway,1224,46,High,0,Clear
274,2025-01-12 09:00:00,Mumbai,Highway,Ring Road,493,81,Low,0,Fog
275,2025-01-12 10:00:00,Delhi,Urban,Street,1840,22,Medium,0,Fog
276,2025-01-12 11:00:00,Delhi,Urban,Highway,1544,52,Severe,1,Cloudy
277,2025-01-12 12:00:00,Hyderabad,Suburban,Ring Road,512,46,Severe,0,Rain
278,2025-01-12 13:00:00,Delhi,Urban,Street,1803,83,Medium,0,Fog
279,2025-01-12 14:00:00,Delhi,Suburban,Main Road,1103,34,Medium,0,Rain
280,2025-01-12 15:00:00,Delhi,Urban,Street,522,30,High,0,Cloudy
281,2025-01-12 16:00:00,Bangalore,Highway,Main Road,606,50,Severe,0,Rain
282,2025-01-12 17:00:00,Hyderabad,Urban,Ring Road,129,82,High,0,Clear
283,2025-01-12 18:00:00,Chennai,Highway,Street,1112,51,Medium,0,Clear
284,2025-01-12 19:00:00,Mumbai,Highway,Main Road,289,51,High,0,Fog
285,2025-01-12 20:00:00,Chennai,Urban,Highway,606,11,Severe,0,Cloudy
286,2025-01-12 21:00:00,Hyderabad,Highway,Street,639,77,Low,0,Fog
287,2025-01-12 22:00:00,Mumbai,Urban,Ring Road,1410,17,Low,0,Fog
288,2025-01-12 23:00:00,Hyderabad,Urban,Highway,1981,70,Severe,0,Fog
289,2025-01-13 00:00:00,Delhi,Highway,Main Road,1934,23,High,0,Cloudy
290,2025-01-13 01:00:00,Mumbai,Highway,Street,1873,86,Medium,1,Clear
291,2025-01-13 02:00:00,Delhi,Suburban,Street,1353,30,Medium,0,Clear
292,2025-01-13 03:00:00,Chennai,Highway,Ring Road,1189,33,Low,1,Fog
293,2025-01-13 04:00:00,Chennai,Suburban,Highway,318,59,High,0,Rain
294,2025-01-13 05:00:00,Mumbai,Highway,Street,1989,54,Medium,0,Clear
295,2025-01-13 06:00:00,Mumbai,Urban,Street,384,73,Medium,0,Clear
296,2025-01-13 07:00:00,Hyderabad,Highway,Highway,361,73,Severe,0,Cloudy
297,2025-01-13 08:00:00,Hyderabad,Urban,Street,1126,35,High,0,Clear
298,2025-01-13 09:00:00,Delhi,Urban,Highway,1141,41,High,1,Clear
299,2025-01-13 10:00:00,Mumbai,Urban,Highway,743,66,Medium,0,Fog
300,2025-01-13 11:00:00,Chennai,Suburban,Highway,83,62,High,0,Fog
301,2025-01-13 12:00:00,Hyderabad,Highway,Ring Road,1869,42,High,0,Cloudy
302,2025-01-13 13:00:00,Hyderabad,Urban,Highway,1891,61,High,0,Cloudy
303,2025-01-13 14:00:00,Chennai,Urban,Highway,435,27,Severe,1,Rain
304,2025-01-13 15:00:00,Hyderabad,Suburban,Main Road,298,44,Medium,1,Clear
305,2025-01-13 16:00:00,Delhi,Highway,Main Road,1184,21,Low,1,Fog
306,2025-01-13 17:00:00,Mumbai,Highway,Ring Road,1167,60,High,0,Fog
307,2025-01-13 18:00:00,Chennai,Suburban,Highway,1483,19,Medium,0,Clear
308,2025-01-13 19:00:00,Mumbai,Suburban,Main Road,1252,61,Low,0,Cloudy
309,2025-01-13 20:00:00,Hyderabad,Highway,Main Road,1120,43,Severe,0,Fog
310,2025-01-13 21:00:00,Hyderabad,Suburban,Street,843,76,Medium,0,Cloudy
311,2025-01-13 22:00:00,Chennai,Highway,Highway,901,48,Severe,1,Fog
312,2025-01-13 23:00:00,Delhi,Highway,Main Road,923,17,Medium,0,Fog
313,2025-01-14 00:00:00,Bangalore,Urban,Ring Road,1677,38,Severe,0,Rain
314,2025-01-14 01:00:00,Chennai,Urban,Street,425,31,Medium,0,Fog
315,2025-01-14 02:00:00,Bangalore,Highway,Street,773,79,Severe,0,Clear
316,2025-01-14 03:00:00,Bangalore,Highway,Highway,1660,70,Low,0,Clear
317,2025-01-14 04:00:00,Delhi,Highway,Highway,1963,52,Medium,0,Clear
